OwnerUserId	PostId	ParentId	PostTypeID
12279519	58575041		1
10985518	58534581		1
10985518	58533751		1
9760945	58468164		1
11119921	58431370		1
1650012	21585427		1
11055696	58131901		1
12096243	58032516		1
11588002	57870534		1
3755482	24339296		1
11890330	57571173		1
11919869	57469620		1
11890330	57409148		1
11857970	57273127		1
11482715	57046097		1
11492709	57006039		1
11164385	56725013		1
11425834	56678860		1
10511664	56560534		1
2951230	36049942		1
2921557	24252633		1
9562665	56341699		1
7243499	50092026		1
5582926	33926341		1
3450912	22588976		1
11521195	56201439		1
11228907	55969892		1
10272133	55947002		1
11330026	55820725		1
9163813	55625363		1
2719346	18490026		1
10849554	55363084		1
10416232	55209373		1
9249183	55166348		1
5189877	55164373		1
4124981	54989317		1
6668433	54922544		1
4783250	29625335		1
10122096	54810031		1
7870805	53627913		1
11029023	54576092		1
9352987	54587120		1
9727963	54578730		1
4519067	28822912		1
871021	12275529		1
10838489	53943161		1
10232440	53955503		1
10768445	53698912		1
10705797	53664564		1
10564185	53658412		1
10467901	53639653		1
10681647	53398672		1
10636494	53250910		1
10295999	53244034		1
2020855	52972130		1
9935434	52851500		1
1738522	18684800		1
10294560	52366512		1
9357307	52303837		1
9907850	51949734		1
9349544	51938501		1
2590203	22680344		1
9202753	51889489		1
8591145	51820269		1
5468958	44132378		1
9837954	51194248		1
9821783	51164334		1
6133915	50993893		1
9504712	50937345		1
9890922	50771214		1
8920468	50579265		1
9846616	50528862		1
9264350	50333105		1
9721207	50160034		1
9306264	50150574		1
9721207	50101190		1
5969116	50029975		1
9081010	49834493		1
5362772	49814176		1
3200593	21152100		1
4348186	37001193		1
6843138	49150568		1
7135968	49067913		1
4927379	36906272		1
5113770	34633852		1
7395925	48194551		1
4925134	48162927		1
8889739	48062130		1
8889739	48050733		1
9064664	48045639		1
5841432	48022568		1
9134553	47954891		1
6553529	47857046		1
3550594	47823177		1
1556433	19463651		1
8843163	47787881		1
7567946	47622439		1
8928460	47601079		1
7775832	47460895		1
4674946	47150371		1
8787137	46815910		1
5722387	34489377		1
8794210	46805026		1
4265043	46428932		1
8517975	46495645		1
4925134	46710082		1
4527185	46687069		1
7586105	46619379		1
863567	46504478		1
3023588	46594540		1
2650838	46419978		1
1322610	46401843		1
6037769	46290704		1
6247833	46171020		1
8427036	45971813		1
7636455	45881664		1
7827958	44647921		1
1818667	45836608		1
8130727	45710468		1
5684416	45669629		1
1496362	39208527		1
8137833	45447659		1
8137833	45417901		1
7892014	45420667		1
7810371	45389450		1
966652	26299387		1
7306823	45285411		1
7308301	45195617		1
5280696	44981133		1
3918907	44925137		1
7719687	44624235		1
7093302	44908401		1
5280696	44732364		1
5825784	34987398		1
4297979	44711007		1
2298933	44705231		1
2584772	44702444		1
5280696	44536762		1
5839900	44430612		1
6591021	44348432		1
8074079	44248352		1
7523069	44226768		1
6696445	43552702		1
6477562	44173714		1
1671245	12686331		1
7750768	44131362		1
7975525	44095877		1
7869211	43822204		1
7869211	43827311		1
5684416	43787297		1
3211705	33820979		1
3834562	43641582		1
1671245	43606766		1
5684416	43621958		1
7596515	43603165		1
5684416	43541902		1
2977617	25152047		1
7892250	43506457		1
1598452	43190714		1
5846646	35110550		1
5899276	43201237		1
7779939	43070771		1
7549404	42843625		1
766532	42950729		1
7722835	42877182		1
755495	42868352		1
7240726	42803166		1
7696527	42741648		1
7691721	42733527		1
6159172	42684679		1
6907708	42527471		1
6495712	42513598		1
6341939	42441370		1
7015437	42422554		1
1156149	42417151		1
7543865	42230855		1
7551699	42182660		1
6284379	41994126		1
7361509	41939804		1
7003950	41911689		1
6190168	41866606		1
7466896	41842735		1
7444501	41756278		1
7323439	41656160		1
7130429	41606849		1
6719577	41516268		1
2291289	41524345		1
4313162	41487004		1
4313162	41446665		1
5417537	41419127		1
5099342	41400618		1
7030439	41391349		1
7070298	41368792		1
2164816	41275658		1
5464634	33285203		1
7331191	41287001		1
7233206	41233902		1
3053139	29744608		1
7307446	41190533		1
7124180	41154257		1
2522501	41152039		1
6413579	37593354		1
7263917	41024785		1
7256815	41013850		1
7259748	41007545		1
7199944	40764617		1
5996009	39188434		1
7051635	40741929		1
7024620	40713615		1
2573766	26136782		1
6862833	40530132		1
7123101	40452616		1
7045838	40336317		1
5030271	40334274		1
7081189	40288790		1
5618326	40286700		1
398431	5225597		1
6240462	40246951		1
5241924	40122311		1
4801682	39922114		1
5417207	39952644		1
5598068	39930824		1
648927	7682247		1
6937235	39917867		1
6292444	39820674		1
3045838	39711162		1
5792491	36684941		1
6853147	39593178		1
2850808	39499883		1
3697102	39490490		1
6817866	39431484		1
6701496	39407529		1
1778367	39356521		1
1579965	39319941		1
4489154	39098020		1
6742540	39074159		1
6720737	39032139		1
6691884	39028733		1
5488652	38994292		1
6403702	38984525		1
6691884	38943313		1
6668089	38935894		1
4746677	38900626		1
2002849	38894705		1
1940587	38813648		1
6623517	38731674		1
6623517	38728601		1
6623517	38689871		1
3369592	38638347		1
3369592	38609717		1
1977250	38608227		1
6460008	38575689		1
1310840	38486635		1
5539694	38403662		1
5466895	38278382		1
5434700	38268393		1
2468409	38216056		1
1591731	34058453		1
2164667	38076671		1
4441889	38033793		1
3859693	25237286		1
6410893	37979488		1
1705390	36857539		1
3107550	37876624		1
6443744	37851402		1
892629	13404143		1
3628929	37740259		1
6343141	37713279		1
598602	36867712		1
6082288	37651014		1
